TimeStamp,InsideTemp,InsideLux,OutsideTemp,OutsideLux,Servo
250520/085202,36.6,707.5,35.4,2478.33,120
250520/085402,36.7,679.17,35.7,2522.5,120
250520/085602,37.0,655.0,35.5,2552.5,120
250520/085802,36.5,634.17,35.5,2557.5,120
250520/090002,36.8,609.17,35.7,2590.83,120
250520/090202,36.6,590.0,35.7,2645.83,120
250520/090402,36.5,576.67,35.8,2690.83,120
250520/090602,36.5,556.67,35.8,2660.83,120
250520/090802,36.5,535.83,36.0,2640.83,120
250520/091002,36.4,511.67,36.0,2608.33,120
250520/091202,36.4,498.33,36.1,2691.67,120
250520/091402,36.4,489.17,36.2,2739.17,120
250520/091602,36.5,476.67,36.2,2774.17,120
250520/091802,36.4,462.5,36.2,2794.17,120
250520/092002,36.5,449.17,36.2,2733.33,120
250520/092202,36.4,441.67,36.3,2811.67,120
250520/092402,36.4,470.83,36.3,3315.0,120
250520/092602,36.4,417.5,36.4,2901.67,120
250520/092802,36.4,366.67,36.5,2683.33,120
250520/093002,36.4,362.5,36.5,2958.33,120
250520/093202,36.4,390.0,36.4,3178.33,120
250520/093402,36.5,363.33,36.5,2792.5,120
250520/093602,36.5,384.17,36.7,3302.5,120
250520/093602,37.6,940.0,35.1,2494.17,120
250520/093802,36.5,342.5,36.6,2844.17,120
250520/093802,38.4,900.0,34.9,2478.33,120
250520/094002,36.5,324.17,36.5,2763.33,120
250520/094002,37.2,861.67,35.0,2535.83,120
250520/094202,36.5,305.83,36.5,2546.67,120
250520/094202,36.9,829.17,35.1,2545.83,120
250520/094402,36.5,292.5,36.5,2473.33,120
250520/094402,36.8,791.67,34.8,2594.17,120
250520/094602,36.5,360.83,36.5,3721.67,120
250520/094602,36.7,760.0,34.9,2513.33,120
250520/094802,36.3,305.83,36.5,2945.0,120
250520/094802,36.5,736.67,34.9,2565.83,120
270520/130402,34.0,555.83,33.3,2751.67,135
270520/130602,34.0,560.0,33.3,2810.0,135
270520/130802,34.0,555.83,33.3,2750.83,135
270520/131002,34.2,549.17,33.4,2680.0,135
270520/131202,34.1,534.17,33.4,2610.0,135
270520/131402,34.1,506.67,33.4,2553.33,135
270520/131602,34.1,501.67,33.4,2495.83,135
270520/132002,34.1,470.83,33.3,2386.67,135
270520/132202,34.1,460.0,33.4,2298.33,135
270520/132402,34.0,427.5,33.3,2139.17,135
270520/132602,34.0,395.0,33.4,1870.0,135
270520/132802,34.0,680.83,33.2,1446.67,135
270520/133002,33.9,340.83,33.3,1757.5,135
280520/100802,31.4,760.83,31.9,6233.33,150
280520/101002,31.5,737.5,31.7,5989.17,150
280520/101202,31.4,700.83,31.7,5755.0,150
280520/101402,31.5,740.83,32.0,6711.67,150
280520/101602,31.7,762.5,32.2,6761.67,150
280520/101802,31.7,743.33,32.5,6560.0,150
280520/102002,31.7,729.17,32.5,6352.5,150
280520/102202,31.7,715.83,32.5,6195.83,150
280520/102602,31.7,702.5,32.3,5890.0,150
280520/083402,32.2,1611.67,30.4,7625.0,180
280520/085802,31.1,1466.67,30.4,7373.33,180
280520/090002,31.1,1450.0,30.2,7523.33,180
